",,Sala,Sala,Sala,Sala,Sala,Sala"
"Ivica Zubac\zubaciv01,LAC,$7518518,$7518518,,,,"
"T.J. McConnell\mccontj01,IND,$7500000,$8100000,$8700000,$9300000,,"
"Patrick Williams\willipa01,CHI,$7422000,$7775400,$9835881,,,"
"Scottie Barnes\barnesc01,TOR,$7280520,$7644720,$8008560,$10130828,,"
"Darius Garland\garlada01,CLE,$7040880,$8920795,,,,"
"Chris Boucher\bouchch01,TOR,$7009615,,,,,"
"D.J. Augustin\augusdj01,HOU,$7622467,$333333,,,,"
"P.J. Tucker\tuckepj01,MIA,$7000000,$7350000,,,,"
"Zach Collins\colliza01,SAS,$6984127,$7333333,$7682540,,,"
"Wendell Carter Jr.\cartewe01,ORL,$6920027,$14150000,$13050000,$11950000,$10850000,"
"Isaac Okoro\okorois01,CLE,$6720720,$7040880,$8920795,,,"
"Jalen Suggs\suggsja01,ORL,$6593040,$6922440,$7252200,$9188537,,"
"Cameron Payne\payneca01,PHO,$6500000,$6000000,$6500000,,,"
"Joakim Noah\noahjo01,NYK,$6431666,,,,,"
"Jarrett Culver\culveja01,MEM,$6395160,$8109063,,,,"
"Khem Birch\birchkh01,TOR,$6350000,$6667750,$6985000,,,"
"Collin Sexton\sextoco01,CLE,$6349671,,,,,"
""
"Onyeka Okongwu\okongon01,ATL,$6104280,$6395160,$8109063,,,"
"Justin Holiday\holidju01,SAC,$6006420,$6292440,,,,"
"Josh Giddey\giddejo01,OKC,$5988000,$6287400,$6587040,$8352367,,"
"Rudy Gay\gayru01,UTA,$5890000,$6184500,$6479000,,,"
""
"Patty Mills\millspa02,BRK,$5890000,$6184500,,,,"
"Kevin Knox\knoxke01,ATL,$5845978,,,,,"
"Coby White\whiteco01,CHI,$5837760,$7413955,,,,"
"Timofey Mozgov\mozgoti01,ORL,$5573334,,,,,"
"Killian Hayes\hayeski01,DET,$5572680,$5837760,$7413955,,,"
"Mikal Bridges\bridgmi01,PHO,$5557725,$20089286,$21696429,$23303571,$24910714,"
"Shai Gilgeous-Alexander\gilgesh01,OKC,$5495532,$29750000,$32130000,$34510000,$36890000,$39270000"
"Jonathan Kuminga\kuminjo01,GSW,$5466360,$5739960,$6012720,$7636154,,"
"Miles Bridges\bridgmi02,CHO,$5421493,,,,,"
"Jaxson Hayes\hayesja02,NOP,$5348280,$6803012,,,,"
"Pat Connaughton\connapa01,MIL,$5333333,$5728395,,,,"
"Michael Porter Jr.\portemi01,DEN,$5258735,$29750000,$32130000,$34510000,$36890000,$39270000"
"Ryan Anderson\anderry01,MIA,$5214584,,,,,"
"Hamidou Diallo\diallha01,DET,$5200000,$5200000,,,,"
"Kevon Looney\looneke01,GSW,$5178572,,,,,"
"Troy Brown Jr.\browntr01,CHI,$5170564,,,,,"
"Obi Toppin\toppiob01,NYK,$5105160,$5348280,$6803012,,,"
"Franz Wagner\wagnefr01,ORL,$5007840,$5258280,$5508720,$7007092,,"
"Josh Jackson\jacksjo02,SAC,$5005350,,,,,"
"JaVale McGee\mcgeeja01,PHO,$5000000,,,,,"
"Robin Lopez\lopezro01,ORL,$5000000,,,,,"
"Kendrick Nunn\nunnke01,LAL,$5000000,$5250000,,,,"
"Lou Williams\willilo02,ATL,$5000000,,,,,"
"Luol Deng\denglu01,LAL,$4990000,,,,,"
"Rui Hachimura\hachiru01,WAS,$4916160,$6263188,,,,"
"Garrett Temple\templga01,NOP,$4910000,$5155500,$5401000,,,"
"Cory Joseph\josepco01,DET,$7310000,$5155000,,,,"
"Taj Gibson\gibsota01,NYK,$4910000,$5155500,,,,"
"Torrey Craig\craigto01,PHO,$4878049,$5121951,,,,"
"Rajon Rondo\rondora01,MEM,$2641691,,,,,"
"Bruce Brown\brownbr01,BRK,$4736102,,,,,"
"Deni Avdija\avdijde01,WAS,$4692840,$4916160,$6263188,,,"
"Donte DiVincenzo\divindo01,SAC,$4675830,,,,,"
"Cam Reddish\reddica01,NYK,$4670160,$5954454,,,,"
"David Nwaba\nwabada01,HOU,$4650000,$5022000,$5394000,,,"
"Furkan Korkmaz\korkmfu01,PHI,$4629630,$5000000,$5370370,,,"
"Davion Mitchell\mitchda01,SAC,$4603320,$4833600,$5063760,$6451230,,"
"Ish Smith\smithis01,WAS,$4500000,$4725000,,,,"
"Jeff Green\greenje02,DEN,$4500000,$4500000,,,,"
"Jalen Smith\smithja04,IND,$4458000,$4670160,$5954454,,,"
"Lonnie Walker IV\walkelo01,SAS,$4447896,,,,,"
"Cameron Johnson\johnsca02,PHO,$4437000,$5887899,,,,"
"Ziaire Williams\willizi02,MEM,$4373160,$4591920,$4810200,$6133005,,"
"Maurice Harkless\harklma01,SAC,$4347600,$4564980,,,,"
"Bobby Portis\portibo01,MIL,$4347600,$4564980,,,,"
"Jarred Vanderbilt\vandeja01,MIN,$4259259,$4600000,$4940741,,,"
"Kevin Huerter\huertke01,ATL,$4253357,$14508929,$15669643,$16830357,$17991071,"
"Devin Vassell\vassede01,SAS,$4235160,$4437000,$5887899,,,"
"P.J. Washington\washipj01,CHO,$4215120,$5808435,,,,"
"James Bouknight\bouknja01,CHO,$4154400,$4362240,$4570080,$6064496,,"
"Josh Okogie\okogijo01,MIN,$4087904,,,,,"
"Grayson Allen\allengr01,MIL,$4054695,$9615385,$10384615,,,"
"Tyrese Haliburton\halibty01,IND,$4023600,$4215120,$5808435,,,"
"Tyler Herro\herroty01,MIA,$4004280,$5722116,,,,"
"Dorian Finney-Smith\finnedo01,DAL,$4000000,$12402000,$13394160,$14386320,$15378480,"
"Terence Davis\daviste02,SAC,$4000000,$4000000,,,,"
"George Hill\hillge01,MIL,$4000000,$4000000,,,,"
"Gorgui Dieng\dienggo01,ATL,$4000000,,,,,"
"Aaron Holiday\holidaa01,PHO,$3980551,,,,,"
"Joshua Primo\primojo01,SAS,$3946800,$4144320,$4341600,$5982725,,"
"Jake Layman\laymaja01,MIN,$3940184,,,,,"
"Anfernee Simons\simonan01,POR,$3938818,,,,,"
"Justise Winslow\winslju01,POR,$3902439,$4097561,,,,"
"Kira Lewis Jr.\lewiski01,NOP,$3822240,$4004280,$5722116,,,"
"Romeo Langford\langfro01,SAS,$3804360,$5634257,,,,"
"Facundo Campazzo\campafa01,DEN,$3804150,,,,,"
"Landry Shamet\shamela01,PHO,$3768342,$9598214,$10366071,$11133929,$11901786,"
"Chris Duarte\duartch01,IND,$3749520,$3936960,$4124280,$5893596,,"
"Alex Len\lenal01,SAC,$3731707,$3918293,,,,"
"Robert Williams\williro04,BOS,$3661976,$10700000,$11556000,$12412000,$13268000,"
"Jevon Carter\carteje01,BRK,$4107149,$3925000,,,,"
"Aaron Nesmith\nesmiaa01,BOS,$3631200,$3804360,$5634257,,,"
"Moses Moody\moodymo01,GSW,$3562080,$3740160,$3918480,$5803269,,"
"Boban Marjanovic\marjabo01,DAL,$3500000,$3500000,,,,"
"Mike Muscala\muscami01,OKC,$3500000,$3500000,,,,"
"Cole Anthony\anthoco01,ORL,$3449400,$3613680,$5539771,,,"
"Corey Kispert\kispeco01,WAS,$3383640,$3552960,$3722040,$5705887,,"
"Trey Burke\burketr01,DAL,$3333333,$3492063,,,,"
"Georges Niang\niangge01,PHI,$3300000,$3465000,,,,"
"Chuma Okeke\okekech01,ORL,$3277080,$3433320,$5266713,,,"
"Isaiah Stewart\stewais01,DET,$3277080,$3433320,$5266713,,,"
"Nickeil Alexander-Walker\alexani01,UTA,$3261480,$5009633,,,,"
""
"Nicolas Batum\batumni01,LAC,$12213507,$12372008,,,,"
"Jon Leuer\leuerjo01,MIL,$3169347,,,,,"
"Aleksej Pokusevski\pokusal01,OKC,$3113160,$3261480,$5009633,,,"
"Goga Bitadze\bitadgo01,IND,$3098400,$4765339,,,,"
"Trey Murphy III\murphtr02,NOP,$3053760,$3206640,$3359280,$5159854,,"
"Sterling Brown\brownst02,DAL,$3000000,$3000000,,,,"
"Michael Carter-Williams\cartemi01,ORL,$3000000,,,,,"
"Frank Jackson\jacksfr01,DET,$3000000,$3150000,,,,"
"Josh Green\greenjo02,DAL,$2957520,$3098400,$4765339,,,"
"Tre Mann\manntr01,OKC,$2901240,$3046200,$3191280,$4908189,,"
"Dewayne Dedmon\dedmode01,DET,$5256308,$2866667,$2866667,$2866667,,"
"Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,,,"
"Matisse Thybulle\thybuma01,PHI,$2840160,$4379527,,,,"
