Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
13,Evan Fournier,SG,29,NYK,80,2358,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,,1.5,2.2,3.7,0.075,,-0.4,-0.3,-0.7,0.7
14,Malik Beasley,SG,25,MIN,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7
15,Jalen Brunson,PG,25,DAL,79,2524,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,0.143,,0.9,0,0.9,1.9
16,Jordan Clarkson,SG,29,UTA,79,2141,14.9,0.532,0.536,0.156,3.5,10.2,7,14.5,1.5,0.7,9.8,26.8,,1.5,2,3.5,0.079,,0.5,-1.2,-0.6,0.7
17,Kenyon Martin Jr.,SF,21,HOU,79,1656,14.3,0.603,0.321,0.235,5.3,14.5,9.9,9.4,1,2.2,9.4,16.3,,2.3,0.6,2.9,0.084,,0,-1.2,-1.2,0.4
18,Duncan Robinson,SG,27,MIA,79,2043,10.6,0.573,0.86,0.084,1.4,9.8,5.6,9.3,1,0.7,7.4,17.7,,1.9,2,3.9,0.092,,-0.3,-0.3,-0.6,0.7
19,Franz Wagner,SF,20,ORL,79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,,2.1,1.9,4,0.079,,-0.4,-0.3,-0.7,0.8
20,Torrey Craig,SF,31,TOT,78,1596,11,0.556,0.531,0.118,5.9,15.4,10.7,7.6,1.4,2,12.6,14.3,,0.9,1.4,2.3,0.07,,-1.7,-0.1,-1.8,0.1
21,Jaren Jackson Jr.,PF,22,MEM,78,2126,17,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,,1.7,3.7,5.4,0.121,,-0.9,0.8,-0.1,1
22,Herbert Jones,PF,23,NOP,78,2335,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,,2.1,2.5,4.6,0.096,,-2,1.5,-0.5,0.9
23,Immanuel Quickley,PG,22,NYK,78,1802,14.6,0.543,0.547,0.278,1.8,13.1,7.4,24.5,1.5,0.2,10.9,22.2,,2.5,1.8,4.2,0.113,,0.2,0,0.2,1
24,Jae'Sean Tate,SF,26,HOU,78,2056,14.3,0.567,0.277,0.252,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,,1.9,1.1,3,0.071,,-1.3,-0.5,-1.8,0.1
25,Russell Westbrook,PG,33,LAL,78,2678,15,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,,-0.6,2.3,1.7,0.03,,-0.7,-0.9,-1.6,0.2
26,Harrison Barnes,PF,29,SAC,77,2587,15.7,0.623,0.432,0.495,3.4,14.9,9.1,10.5,1,0.5,10.4,18.8,,5,1,6,0.112,,1.5,-1.3,0.2,1.4
27,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,,1.4,1.4,2.8,0.058,,-0.9,-0.6,-1.5,0.3
28,Ayo Dosunmu,SG,22,CHI,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,,1.7,1.3,3,0.069,,-1.9,-0.1,-2,0
29,Tyrese Haliburton,SG-PG,21,TOT,77,2695,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19,,5.2,1.8,7,0.125,,2.7,-0.1,2.6,3.1
30,Corey Kispert,SF,22,WAS,77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,,1.6,0.7,2.3,0.061,,-0.8,-1.5,-2.3,-0.1
31,Royce O'Neale,SF,28,UTA,77,2406,10.3,0.608,0.689,0.126,3,13.4,8.4,10.5,1.8,1.2,14.4,9.9,,2.7,2.8,5.5,0.109,,-0.8,1.7,0.8,1.7
32,Naz Reid,C,22,MIN,77,1215,17.2,0.588,0.349,0.313,8.8,18,13.3,8.7,1.6,5.6,13.2,21.4,,1.5,1.6,3.2,0.125,,-0.5,0.5,0,0.6
33,Grant Williams,PF,23,BOS,77,1875,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1,2.8,11.6,12.6,,2.4,2.6,5.1,0.13,,-1.4,1.1,-0.4,0.8
34,Delon Wright,SG,29,ATL,77,1452,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,,2.2,1.5,3.6,0.121,,-0.2,2.4,2.2,1.6
35,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22,19.9,16.1,1.6,2.7,19.6,12,,3.8,3,6.8,0.163,,1,1,2,2
36,Desmond Bane,SF,23,MEM,76,2266,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,,4.5,2.7,7.2,0.153,,2.5,0.3,2.7,2.7
37,DeMar DeRozan,PF,32,CHI,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8,23.3,1.2,0.8,9.2,31.8,,7,1.8,8.8,0.154,,3.4,-0.9,2.5,3.1
38,Devonte' Graham,PG,26,NOP,76,2162,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,,1.6,1.2,2.8,0.062,,0.2,-1.2,-1,0.5
39,Malik Monk,SG,23,LAL,76,2139,14.4,0.597,0.535,0.142,1.9,11,6.4,15.2,1.4,1.2,12.2,20.1,,2.3,1.4,3.6,0.081,,0.5,-1,-0.5,0.8
40,Georges Niang,PF,28,PHI,76,1736,10.7,0.594,0.687,0.105,1.6,11.3,6.5,8.7,0.9,0.7,9.1,16.8,,1.5,1.3,2.8,0.077,,-0.8,-1.1,-1.9,0
41,Kelly Oubre Jr.,SF,26,CHO,76,1999,14.9,0.56,0.593,0.203,4.1,12,8,6.2,1.8,1.5,6.2,23,,1.8,1.4,3.3,0.079,,0.2,-1.6,-1.4,0.3
42,Jordan Poole,SG,22,GSW,76,2283,16.1,0.598,0.548,0.251,1.7,10.5,6.2,21,1.3,1,13.7,26,,3.1,2.9,6,0.126,,1.3,-0.3,1,1.7
43,Jayson Tatum,SF,23,BOS,76,2731,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,,5,4.6,9.6,0.169,,4.3,0.6,4.9,4.8
44,Trae Young,PG,23,ATL,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,,9,1,10,0.181,,7.1,-2,5.2,4.8
45,Ivica Zubac,C,24,LAC,76,1852,19.2,0.66,0,0.459,12.8,23.7,18.4,9.8,1,3.5,16.1,16.8,,4.3,2.9,7.2,0.187,,-0.1,0.8,0.7,1.3
46,LaMelo Ball,PG,20,CHO,75,2422,19.7,0.554,0.451,0.194,4.7,17.4,11,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,0.116,,3.3,0.2,3.4,3.3
47,Bryn Forbes,SG,28,TOT,75,1286,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,,0.8,0.6,1.4,0.054,,-0.7,-2.2,-2.9,-0.3
48,Aaron Gordon,PF,26,DEN,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,,3.2,2,5.2,0.105,,0.5,-1.1,-0.6,0.9
