,,,Salary,,,,,,,
150,Alex Caruso,CHI,"$8,604,651","$9,034,884","$9,465,116","$9,895,349",,,MLE,"$37,000,000"
151,Delon Wright,ATL,"$8,526,316",,,,,,Sign and Trade,"$8,526,316"
152,De'Anthony Melton,MEM,"$8,437,500","$9,062,500","$9,687,500",,,,Early Bird,"$27,187,500"
153,Daniel Theis,BOS,"$8,372,093","$8,790,698","$9,209,302","$9,627,907",,,Sign and Trade,"$36,000,000"
154,Monte Morris,DEN,"$8,333,333","$9,000,000","$9,666,667",,,,Bird,"$27,000,000"
155,Trae Young,ATL,"$8,326,471","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$180,876,471"
156,JaMychal Green,DEN,"$8,292,683","$8,707,317",,,,,Non Bird,"$17,000,000"
157,LaMelo Ball,CHO,"$8,231,760","$8,623,920","$10,900,635",,,,1st Round Pick,"$16,855,680"
158,Seth Curry,BRK,"$8,186,047","$8,558,140",,,,,MLE,"$16,744,187"
159,Mason Plumlee,CHO,"$8,137,500","$8,525,000",,,,,Cap space,"$16,662,500"
160,Evan Mobley,CLE,"$8,075,160","$8,478,720","$8,882,760","$11,227,809",,,1st Round Pick,"$16,553,880"
161,Cedi Osman,CLE,"$8,050,000","$7,350,000","$6,650,000",,,,MLE,"$15,400,000"
162,DeAndre Jordan,DET,"$11,109,327","$7,827,907",,,,,,"$15,703,440"
163,De'Andre Hunter,ATL,"$7,775,400","$9,835,881",,,,,1st Round Pick,"$17,611,281"
164,Mo Bamba,ORL,"$7,568,742",,,,,,1st Round Pick,"$7,568,742"
165,Tyus Jones,MEM,"$7,522,200",,,,,,MLE,"$7,522,200"
166,Ivica Zubac,LAC,"$7,518,518","$7,518,518",,,,,Bird Rights,"$7,518,518"
167,T.J. McConnell,IND,"$7,500,000","$8,100,000","$8,700,000","$9,300,000",,,Early Bird,"$29,300,000"
168,Patrick Williams,CHI,"$7,422,000","$7,775,400","$9,835,881",,,,1st Round Pick,"$15,197,400"
169,Scottie Barnes,TOR,"$7,280,520","$7,644,720","$8,008,560","$10,130,828",,,1st Round Pick,"$14,925,240"
170,Darius Garland,CLE,"$7,040,880","$8,920,795",,,,,1st Round Pick,"$15,961,675"
171,Chris Boucher,TOR,"$7,009,615",,,,,,Early Bird,"$7,009,615"
172,D.J. Augustin,HOU,"$7,622,467","$333,333",,,,,,"$7,333,333"
173,P.J. Tucker,MIA,"$7,000,000","$7,350,000",,,,,MLE,"$7,000,000"
174,Zach Collins,SAS,"$6,984,127","$7,333,333","$7,682,540",,,,Cap Space,"$22,000,000"
175,Wendell Carter Jr.,ORL,"$6,920,027","$14,150,000","$13,050,000","$11,950,000","$10,850,000",,1st Round Pick,"$50,000,000"
176,Isaac Okoro,CLE,"$6,720,720","$7,040,880","$8,920,795",,,,1st Round Pick,"$13,761,600"
177,Jalen Suggs,ORL,"$6,593,040","$6,922,440","$7,252,200","$9,188,537",,,1st Round Pick,"$13,515,480"
178,Cameron Payne,PHO,"$6,500,000","$6,000,000","$6,500,000",,,,Early Bird,"$14,500,000"
179,Joakim Noah,NYK,"$6,431,666",,,,,,,"$6,431,666"
180,Jarrett Culver,MEM,"$6,395,160","$8,109,063",,,,,1st Round Pick,"$6,395,160"
181,Khem Birch,TOR,"$6,350,000","$6,667,750","$6,985,000",,,,MLE,"$20,002,750"
182,Collin Sexton,CLE,"$6,349,671",,,,,,1st Round Pick,"$6,349,671"
183,Juancho Hernangómez,UTA,"$6,175,440","$6,632,880",,,,,Bird,"$6,175,440"
184,Onyeka Okongwu,ATL,"$6,104,280","$6,395,160","$8,109,063",,,,1st Round Pick,"$12,499,440"
185,Justin Holiday,SAC,"$6,006,420","$6,292,440",,,,,Non Bird,"$12,298,860"
186,Josh Giddey,OKC,"$5,988,000","$6,287,400","$6,587,040","$8,352,367",,,1st Round Pick,"$12,275,400"
187,Rudy Gay,UTA,"$5,890,000","$6,184,500","$6,479,000",,,,Mini MLE,"$12,074,500"
188,Dennis Schröder,HOU,"$5,890,000",,,,,,Mini MLE,"$5,890,000"
189,Patty Mills,BRK,"$5,890,000","$6,184,500",,,,,Mini MLE,"$5,890,000"
190,Kevin Knox,ATL,"$5,845,978",,,,,,1st Round Pick,"$5,845,978"
191,Coby White,CHI,"$5,837,760","$7,413,955",,,,,1st Round Pick,"$5,837,760"
192,Timofey Mozgov,ORL,"$5,573,334",,,,,,,"$5,573,334"
193,Killian Hayes,DET,"$5,572,680","$5,837,760","$7,413,955",,,,1st Round Pick,"$11,410,440"
194,Mikal Bridges,PHO,"$5,557,725","$20,089,286","$21,696,429","$23,303,571","$24,910,714",,1st Round Pick,"$95,557,725"
195,Shai Gilgeous-Alexander,OKC,"$5,495,532","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$178,045,532"
196,Jonathan Kuminga,GSW,"$5,466,360","$5,739,960","$6,012,720","$7,636,154",,,1st Round Pick,"$11,206,320"
197,Miles Bridges,CHO,"$5,421,493",,,,,,1st Round Pick,"$5,421,493"
198,Jaxson Hayes,NOP,"$5,348,280","$6,803,012",,,,,1st Round Pick,"$12,151,292"
199,Pat Connaughton,MIL,"$5,333,333","$5,728,395",,,,,Early Bird,"$5,333,333"
200,Michael Porter Jr.,DEN,"$5,258,735","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$150,538,735"
201,Ryan Anderson,MIA,"$5,214,584",,,,,,,"$5,214,584"
202,Hamidou Diallo,DET,"$5,200,000","$5,200,000",,,,,Bird,"$5,200,000"
203,Kevon Looney,GSW,"$5,178,572",,,,,,Bird Rights,"$5,178,572"
204,Troy Brown Jr.,CHI,"$5,170,564",,,,,,1st Round Pick,"$5,170,564"
205,Obi Toppin,NYK,"$5,105,160","$5,348,280","$6,803,012",,,,1st Round Pick,"$10,453,440"
206,Franz Wagner,ORL,"$5,007,840","$5,258,280","$5,508,720","$7,007,092",,,1st Round Pick,"$10,266,120"
207,Josh Jackson,SAC,"$5,005,350",,,,,,Room Exception,"$5,005,350"
208,JaVale McGee,PHO,"$5,000,000",,,,,,MLE,"$5,000,000"
209,Robin Lopez,ORL,"$5,000,000",,,,,,MLE,"$5,000,000"
210,Kendrick Nunn,LAL,"$5,000,000","$5,250,000",,,,,Mini MLE,"$5,000,000"
211,Lou Williams,ATL,"$5,000,000",,,,,,Bird,"$5,000,000"
212,Luol Deng,LAL,"$4,990,000",,,,,,,"$4,990,000"
213,Rui Hachimura,WAS,"$4,916,160","$6,263,188",,,,,1st Round Pick,"$11,179,348"
214,Garrett Temple,NOP,"$4,910,000","$5,155,500","$5,401,000",,,,Sign and Trade,"$10,065,500"
215,Cory Joseph,DET,"$7,310,000","$5,155,000",,,,,Room Exception,"$7,310,000"
216,Taj Gibson,NYK,"$4,910,000","$5,155,500",,,,,Room Exception,"$4,910,000"
217,Torrey Craig,PHO,"$4,878,049","$5,121,951",,,,,MLE,"$10,000,000"
218,Rajon Rondo,MEM,"$2,641,691",,,,,,,"$4,858,309"
219,Bruce Brown,BRK,"$4,736,102",,,,,,,"$4,736,102"
220,Deni Avdija,WAS,"$4,692,840","$4,916,160","$6,263,188",,,,1st Round Pick,"$9,609,000"
